Last_Updated,Building,Available_Bed_Spaces,Percent_Left
2025-02-18 09:00:00,De Neve Plaza,1245,1.0
2025-02-18 09:00:00,De Neve Residence Hall,432,1.0
2025-02-18 09:00:00,Dykstra Hall,765,1.0
2025-02-18 09:00:00,Gayley Court Apartments,276,1.0
2025-02-18 09:00:00,Gayley Heights,1164,1.0
2025-02-18 09:00:00,Glenrock Apartments,150,1.0
2025-02-18 09:00:00,Glenrock West Apartments,105,1.0
2025-02-18 09:00:00,Hedrick Hall,1002,1.0
2025-02-18 09:00:00,Hedrick Summit,696,1.0
2025-02-18 09:00:00,Hitch Suites,450,1.0
2025-02-18 09:00:00,Landfair Apartments,164,1.0
2025-02-18 09:00:00,Landfair Vista Apartments,144,1.0
2025-02-18 09:00:00,Laurel,766,1.0
2025-02-18 09:00:00,Levering Terrace Apartments,269,1.0
2025-02-18 09:00:00,Olympic / Centennial,1674,1.0
2025-02-18 09:00:00,Palo Verde,422,1.0
2025-02-18 09:00:00,Rieber Hall,996,1.0
2025-02-18 09:00:00,Rieber Terrace,780,1.0
2025-02-18 09:00:00,Rieber Vista,696,1.0
2025-02-18 09:00:00,Saxon Suites,426,1.0
2025-02-18 09:00:00,Sproul Hall,999,1.0
2025-02-18 09:00:00,Sproul Landing / Cove,1005,1.0
2025-02-18 09:00:00,Sunset Village,1629,1.0
2025-02-18 09:00:00,Tipuana,926,1.0
2025-02-18 09:00:00,Westwood Chateau Apartments,246,1.0
2025-02-18 09:00:00,Westwood Palms Apartments,87,1.0
2025-02-18 10:00:00,De Neve Plaza,1226,0.9847389558232932
2025-02-18 10:00:00,De Neve Residence Hall,430,0.9953703703703703
2025-02-18 10:00:00,Dykstra Hall,764,0.9986928104575163
2025-02-18 10:00:00,Gayley Court Apartments,259,0.9384057971014492
2025-02-18 10:00:00,Gayley Heights,1079,0.9269759450171822
2025-02-18 10:00:00,Glenrock Apartments,121,0.8066666666666666
2025-02-18 10:00:00,Glenrock West Apartments,60,0.5714285714285714
2025-02-18 10:00:00,Hedrick Hall,1002,1.0
2025-02-18 10:00:00,Hedrick Summit,693,0.9956896551724138
2025-02-18 10:00:00,Hitch Suites,450,1.0
2025-02-18 10:00:00,Landfair Apartments,98,0.5975609756097561
2025-02-18 10:00:00,Landfair Vista Apartments,59,0.4097222222222222
2025-02-18 10:00:00,Laurel,754,0.9843342036553525
2025-02-18 10:00:00,Levering Terrace Apartments,251,0.9330855018587361
2025-02-18 10:00:00,Olympic / Centennial,1656,0.989247311827957
2025-02-18 10:00:00,Palo Verde,422,1.0
2025-02-18 10:00:00,Rieber Hall,993,0.9969879518072289
2025-02-18 10:00:00,Rieber Terrace,766,0.982051282051282
2025-02-18 10:00:00,Rieber Vista,693,0.9956896551724138
2025-02-18 10:00:00,Saxon Suites,405,0.9507042253521126
2025-02-18 10:00:00,Sproul Hall,982,0.982982982982983
2025-02-18 10:00:00,Sproul Landing / Cove,957,0.9522388059701492
2025-02-18 10:00:00,Sunset Village,1623,0.996316758747698
2025-02-18 10:00:00,Tipuana,918,0.9913606911447084
2025-02-18 10:00:00,Westwood Chateau Apartments,232,0.943089430894309
2025-02-18 10:00:00,Westwood Palms Apartments,77,0.8850574712643678
2025-02-18 11:00:00,De Neve Plaza,1202,0.9654618473895582
2025-02-18 11:00:00,De Neve Residence Hall,427,0.9884259259259259
2025-02-18 11:00:00,Dykstra Hall,764,0.9986928104575163
2025-02-18 11:00:00,Gayley Court Apartments,235,0.8514492753623188
2025-02-18 11:00:00,Gayley Heights,965,0.8290378006872853
2025-02-18 11:00:00,Glenrock Apartments,77,0.5133333333333333
2025-02-18 11:00:00,Glenrock West Apartments,36,0.34285714285714286
2025-02-18 11:00:00,Hedrick Hall,994,0.9920159680638723
2025-02-18 11:00:00,Hedrick Summit,693,0.9956896551724138
2025-02-18 11:00:00,Hitch Suites,450,1.0
2025-02-18 11:00:00,Landfair Apartments,30,0.18292682926829268
2025-02-18 11:00:00,Landfair Vista Apartments,18,0.125
2025-02-18 11:00:00,Laurel,750,0.97911227154047
