Last_Updated,Room_Type,Available_Bed_Spaces,Percent_Left
2025-02-18 09:00:00,1 Bd/3 Person,120,1.0
2025-02-18 09:00:00,2 Bd+Loft/5 Person-Double,4,1.0
2025-02-18 09:00:00,2 Bd+Loft/6 Person,12,1.0
2025-02-18 09:00:00,2 Bd/3 Person-Double,50,1.0
2025-02-18 09:00:00,2 Bd/4 Person,1128,1.0
2025-02-18 09:00:00,2 Bd/5 Person-Double,20,1.0
2025-02-18 09:00:00,2 Bd/5 Person-Triple,30,1.0
2025-02-18 09:00:00,2 Bd/6 Person,666,1.0
2025-02-18 09:00:00,2 Bd/7 Person-Quad,108,1.0
2025-02-18 09:00:00,2 Bd/7 Person-Triple,81,1.0
2025-02-18 09:00:00,2 Bd/8 Person,192,1.0
2025-02-18 09:00:00,3 Bd+Loft/9 Person-Double,2,1.0
2025-02-18 09:00:00,3 Bd+Loft/9 Person-Triple,6,1.0
2025-02-18 09:00:00,3 Bd/6 Person,36,1.0
2025-02-18 09:00:00,3 Bd/8 Person-Double,4,1.0
2025-02-18 09:00:00,3 Bd/8 Person-Triple,12,1.0
2025-02-18 09:00:00,4 Bd/10 Person-Double,898,1.0
2025-02-18 09:00:00,4 Bd/10 Person-Triple,1350,1.0
2025-02-18 09:00:00,Classic Triple,3762,1.0
2025-02-18 09:00:00,Deluxe Triple,3111,1.0
2025-02-18 09:00:00,Plaza Triple/Private Bath,2142,1.0
2025-02-18 09:00:00,Plaza Triple/Shared Bath,2904,1.0
2025-02-18 09:00:00,Suite Triple/Shared Bath,876,1.0
2025-02-18 10:00:00,1 Bd/3 Person,73,0.6083333333333333
2025-02-18 10:00:00,2 Bd+Loft/5 Person-Double,4,1.0
2025-02-18 10:00:00,2 Bd+Loft/6 Person,0,0.0
2025-02-18 10:00:00,2 Bd/3 Person-Double,41,0.82
2025-02-18 10:00:00,2 Bd/4 Person,893,0.7916666666666666
2025-02-18 10:00:00,2 Bd/5 Person-Double,14,0.7
2025-02-18 10:00:00,2 Bd/5 Person-Triple,23,0.7666666666666667
2025-02-18 10:00:00,2 Bd/6 Person,634,0.9519519519519519
2025-02-18 10:00:00,2 Bd/7 Person-Quad,104,0.9629629629629629
2025-02-18 10:00:00,2 Bd/7 Person-Triple,81,1.0
2025-02-18 10:00:00,2 Bd/8 Person,192,1.0
2025-02-18 10:00:00,3 Bd+Loft/9 Person-Double,2,1.0
2025-02-18 10:00:00,3 Bd+Loft/9 Person-Triple,6,1.0
2025-02-18 10:00:00,3 Bd/6 Person,17,0.4722222222222222
2025-02-18 10:00:00,3 Bd/8 Person-Double,2,0.5
2025-02-18 10:00:00,3 Bd/8 Person-Triple,6,0.5
2025-02-18 10:00:00,4 Bd/10 Person-Double,894,0.9955456570155902
2025-02-18 10:00:00,4 Bd/10 Person-Triple,1344,0.9955555555555555
2025-02-18 10:00:00,Classic Triple,3741,0.9944178628389154
2025-02-18 10:00:00,Deluxe Triple,3043,0.9781420765027322
2025-02-18 10:00:00,Plaza Triple/Private Bath,2107,0.9836601307189542
2025-02-18 10:00:00,Plaza Triple/Shared Bath,2894,0.9965564738292011
2025-02-18 10:00:00,Suite Triple/Shared Bath,855,0.976027397260274
2025-02-18 11:00:00,1 Bd/3 Person,72,0.6
2025-02-18 11:00:00,2 Bd+Loft/5 Person-Double,2,0.5
2025-02-18 11:00:00,2 Bd+Loft/6 Person,0,0.0
2025-02-18 11:00:00,2 Bd/3 Person-Double,35,0.7
2025-02-18 11:00:00,2 Bd/4 Person,687,0.6090425531914894
2025-02-18 11:00:00,2 Bd/5 Person-Double,1,0.05
2025-02-18 11:00:00,2 Bd/5 Person-Triple,9,0.3
2025-02-18 11:00:00,2 Bd/6 Person,546,0.8198198198198198
2025-02-18 11:00:00,2 Bd/7 Person-Quad,104,0.9629629629629629
2025-02-18 11:00:00,2 Bd/7 Person-Triple,78,0.9629629629629629
2025-02-18 11:00:00,2 Bd/8 Person,192,1.0
2025-02-18 11:00:00,3 Bd+Loft/9 Person-Double,2,1.0
2025-02-18 11:00:00,3 Bd+Loft/9 Person-Triple,6,1.0
2025-02-18 11:00:00,3 Bd/6 Person,2,0.05555555555555555
2025-02-18 11:00:00,3 Bd/8 Person-Double,2,0.5
2025-02-18 11:00:00,3 Bd/8 Person-Triple,6,0.5
2025-02-18 11:00:00,4 Bd/10 Person-Double,892,0.9933184855233853
2025-02-18 11:00:00,4 Bd/10 Person-Triple,1338,0.9911111111111112
2025-02-18 11:00:00,Classic Triple,3724,0.98989898989899
2025-02-18 11:00:00,Deluxe Triple,2973,0.9556412729026037
2025-02-18 11:00:00,Plaza Triple/Private Bath,2073,0.9677871148459384
2025-02-18 11:00:00,Plaza Triple/Shared Bath,2881,0.9920798898071626
2025-02-18 11:00:00,Suite Triple/Shared Bath,828,0.9452054794520548
2025-02-18 12:00:00,1 Bd/3 Person,60,0.5
2025-02-18 12:00:00,2 Bd+Loft/5 Person-Double,1,0.25
2025-02-18 12:00:00,2 Bd+Loft/6 Person,0,0.0
2025-02-18 12:00:00,2 Bd/3 Person-Double,32,0.64
2025-02-18 12:00:00,2 Bd/4 Person,436,0.38652482269503546
2025-02-18 12:00:00,2 Bd/5 Person-Double,1,0.05
2025-02-18 12:00:00,2 Bd/5 Person-Triple,3,0.1
2025-02-18 12:00:00,2 Bd/6 Person,487,0.7312312312312312
2025-02-18 12:00:00,2 Bd/7 Person-Quad,104,0.9629629629629629
2025-02-18 12:00:00,2 Bd/7 Person-Triple,78,0.9629629629629629
2025-02-18 12:00:00,2 Bd/8 Person,184,0.9583333333333334
2025-02-18 12:00:00,3 Bd+Loft/9 Person-Double,0,0.0
2025-02-18 12:00:00,3 Bd+Loft/9 Person-Triple,4,0.6666666666666666
2025-02-18 12:00:00,3 Bd/6 Person,0,0.0
2025-02-18 12:00:00,3 Bd/8 Person-Double,2,0.5
2025-02-18 12:00:00,3 Bd/8 Person-Triple,6,0.5
2025-02-18 12:00:00,4 Bd/10 Person-Double,876,0.9755011135857461
2025-02-18 12:00:00,4 Bd/10 Person-Triple,1330,0.9851851851851852
2025-02-18 12:00:00,Classic Triple,3706,0.9851143009037746
2025-02-18 12:00:00,Deluxe Triple,2871,0.922854387656702
2025-02-18 12:00:00,Plaza Triple/Private Bath,2039,0.9519140989729225
2025-02-18 12:00:00,Plaza Triple/Shared Bath,2868,0.987603305785124
2025-02-18 12:00:00,Suite Triple/Shared Bath,819,0.934931506849315
2025-02-18 13:00:00,1 Bd/3 Person,42,0.35
2025-02-18 13:00:00,2 Bd+Loft/5 Person-Double,1,0.25
2025-02-18 13:00:00,2 Bd+Loft/6 Person,0,0.0
2025-02-18 13:00:00,2 Bd/3 Person-Double,24,0.48
2025-02-18 13:00:00,2 Bd/4 Person,169,0.149822695035461
2025-02-18 13:00:00,2 Bd/5 Person-Double,0,0.0
2025-02-18 13:00:00,2 Bd/5 Person-Triple,3,0.1
2025-02-18 13:00:00,2 Bd/6 Person,339,0.509009009009009
2025-02-18 13:00:00,2 Bd/7 Person-Quad,100,0.9259259259259259
2025-02-18 13:00:00,2 Bd/7 Person-Triple,78,0.9629629629629629
2025-02-18 13:00:00,2 Bd/8 Person,184,0.9583333333333334
2025-02-18 13:00:00,3 Bd+Loft/9 Person-Double,0,0.0
2025-02-18 13:00:00,3 Bd+Loft/9 Person-Triple,0,0.0
2025-02-18 13:00:00,3 Bd/6 Person,0,0.0
2025-02-18 13:00:00,3 Bd/8 Person-Double,0,0.0
2025-02-18 13:00:00,3 Bd/8 Person-Triple,6,0.5
2025-02-18 13:00:00,4 Bd/10 Person-Double,843,0.9387527839643652
2025-02-18 13:00:00,4 Bd/10 Person-Triple,1298,0.9614814814814815
2025-02-18 13:00:00,Classic Triple,3681,0.9784688995215312
2025-02-18 13:00:00,Deluxe Triple,2807,0.9022822243651559
2025-02-18 13:00:00,Plaza Triple/Private Bath,2031,0.9481792717086834
2025-02-18 13:00:00,Plaza Triple/Shared Bath,2849,0.9810606060606061
2025-02-18 13:00:00,Suite Triple/Shared Bath,810,0.9246575342465754
2025-02-18 14:00:00,1 Bd/3 Person,11,0.09166666666666666
2025-02-18 14:00:00,2 Bd+Loft/5 Person-Double,1,0.25
2025-02-18 14:00:00,2 Bd+Loft/6 Person,0,0.0
2025-02-18 14:00:00,2 Bd/3 Person-Double,12,0.24
2025-02-18 14:00:00,2 Bd/4 Person,72,0.06382978723404255
2025-02-18 14:00:00,2 Bd/5 Person-Double,0,0.0
2025-02-18 14:00:00,2 Bd/5 Person-Triple,2,0.06666666666666667
2025-02-18 14:00:00,2 Bd/6 Person,144,0.21621621621621623
2025-02-18 14:00:00,2 Bd/7 Person-Quad,100,0.9259259259259259
2025-02-18 14:00:00,2 Bd/7 Person-Triple,73,0.9012345679012346
2025-02-18 14:00:00,2 Bd/8 Person,184,0.9583333333333334
2025-02-18 14:00:00,3 Bd+Loft/9 Person-Double,0,0.0
2025-02-18 14:00:00,3 Bd+Loft/9 Person-Triple,0,0.0
2025-02-18 14:00:00,3 Bd/6 Person,0,0.0
2025-02-18 14:00:00,3 Bd/8 Person-Double,0,0.0
