Location,Distance,Time
Dykstra Hall,485.603053,6.070038
De Neve Plaza,497.904032,6.223800
Sproul Landing,501.366679,6.267083
Sproul Hall,508.326186,6.354077
De Neve Residence Hall,543.803843,6.797548
Sunset Village,582.157624,7.276970
Rieber Hall,637.025595,7.962820
Rieber Vista,688.371706,8.604646
Rieber Terrace,696.373512,8.704669
Hedrick Hall,719.468185,8.993352
Hedrick Summit,758.638050,9.482976
Saxon Suites,767.070123,9.588377
Olympic / Centennial,808.811013,10.110138
Hitch Suites,848.652502,10.608156
