Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,519,2/21/2025 11:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,15,2/21/2025 11:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,258,2/21/2025 11:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2/21/2025 11:00
De Neve Residence Hall,DN,Deluxe Triple,Female,205,2/21/2025 11:00
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,9,2/21/2025 11:00
De Neve Residence Hall,DN,Deluxe Triple,Male,99,2/21/2025 11:00
Dykstra Hall,DYK,Classic Triple,Female,418,2/21/2025 11:00
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,26,2/21/2025 11:00
Dykstra Hall,DYK,Classic Triple,Male,241,2/21/2025 11:00
Hedrick Hall,HED,Classic Triple,Female,577,2/21/2025 11:00
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/21/2025 11:00
Hedrick Hall,HED,Classic Triple,Male,364,2/21/2025 11:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,243,2/21/2025 11:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,1,2/21/2025 11:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,121,2/21/2025 11:00
Olympic / Centennial,OC,Deluxe Triple,Female,572,2/21/2025 11:00
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,23,2/21/2025 11:00
Olympic / Centennial,OC,Deluxe Triple,Male,262,2/21/2025 11:00
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,2/21/2025 11:00
Rieber Hall,RIE,Classic Triple,Female,536,2/21/2025 11:00
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/21/2025 11:00
Rieber Hall,RIE,Classic Triple,Male,365,2/21/2025 11:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,2/21/2025 11:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,2/21/2025 11:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2/21/2025 11:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,330,2/21/2025 11:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,28,2/21/2025 11:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,204,2/21/2025 11:00
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2/21/2025 11:00
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2/21/2025 11:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,302,2/21/2025 11:00
